70.00	 33.40	 -7.30
69.60	 33.70	 -5.80
68.80	 33.40	 -6.10
68.40	 33.90	 -5.80
69.40	 33.60	 -6.00
69.30	 33.60	 -4.60
69.40	 34.80	 -5.70
69.90	 34.20	 -4.50
69.00	 35.50	 -4.60
68.70	 35.70	 -3.30
68.70	 34.30	 -4.20
69.60	 33.70	 -2.70
68.80	 35.10	 -3.40
68.50	 35.50	 -2.70
68.50	 34.80	 -2.70
68.70	 35.40	 -2.40
67.90	 35.10	 -1.90
69.10	 35.70	 -1.50
67.80	 35.70	 -1.30
68.40	 36.00	 -1.50
67.00	 35.80	 -1.30
67.90	 36.90	 -1.60
68.10	 35.70	 0.00
67.80	 37.30	 -1.00
67.20	 35.80	 -0.70
67.90	 36.30	 -0.60
66.30	 35.50	 -0.70
66.90	 36.90	 -0.40
65.80	 36.40	 -0.10
67.00	 35.70	 -0.30
65.70	 37.00	 0.00
66.00	 36.00	 0.30
65.10	 36.30	 0.00
65.40	 36.40	 0.70
65.50	 37.00	 -0.10
65.10	 36.90	 0.40
65.50	 36.70	 0.90
65.40	 36.90	 0.90
65.80	 37.50	 1.80
65.50	 36.60	 1.60
65.80	 36.70	 2.50
64.90	 36.60	 3.30
66.10	 36.70	 3.00
65.80	 36.70	 3.30
64.80	 37.30	 3.70
64.50	 36.10	 3.30
64.50	 36.60	 3.10
65.20	 36.60	 3.40
64.80	 37.50	 3.90
64.30	 37.20	 4.80
64.30	 37.00	 3.60
64.20	 38.10	 3.30
64.20	 38.50	 3.70
64.00	 37.20	 3.70
63.30	 37.80	 4.00
63.00	 38.50	 4.20
62.80	 37.50	 3.90
63.70	 38.10	 3.70
62.20	 37.90	 4.60
63.40	 37.30	 3.40
63.60	 37.50	 4.00
63.00	 37.60	 4.00
62.70	 38.40	 3.60
63.90	 37.80	 3.60
62.40	 37.20	 2.80
62.70	 38.10	 2.20
63.30	 36.90	 2.70
63.60	 37.20	 2.70
62.80	 37.20	 2.50
62.40	 37.60	 2.70
63.30	 36.90	 3.00
63.60	 36.40	 2.50
63.10	 37.00	 1.60
63.00	 36.70	 3.00
63.30	 36.30	 2.20
63.10	 37.80	 1.80
62.80	 36.60	 2.50
63.70	 36.70	 3.00
63.40	 36.40	 3.30
63.90	 36.70	 2.70
63.90	 36.70	 2.50
63.10	 36.40	 2.10
63.60	 35.50	 2.10
63.90	 35.70	 2.20
63.60	 36.70	 3.00
62.80	 36.10	 1.90
63.00	 36.10	 1.60
64.00	 35.70	 1.50
63.70	 35.80	 2.10
63.90	 36.40	 1.50
63.40	 37.80	 1.80
63.30	 36.90	 2.10
63.70	 36.60	 2.40
62.20	 37.00	 3.10
62.50	 37.00	 2.20
63.60	 36.70	 2.70
62.40	 37.20	 2.70
63.40	 37.00	 2.10
63.00	 36.60	 3.10
62.80	 36.90	 2.50
62.80	 36.60	 3.10
62.70	 37.20	 3.00
63.40	 37.00	 2.80
62.10	 36.30	 2.80
62.70	 36.40	 3.30
63.30	 36.60	 3.70
63.40	 38.10	 4.00
62.80	 37.20	 4.00
62.40	 36.70	 4.50
63.00	 37.50	 4.30
63.40	 37.20	 4.00
63.60	 35.80	 4.30
63.30	 36.00	 3.70
63.40	 36.10	 4.90
63.70	 36.40	 5.40
63.00	 36.70	 6.00
63.30	 36.30	 7.00
62.80	 35.80	 7.20
62.70	 36.60	 7.30
62.40	 36.30	 7.80
62.40	 35.80	 9.30
62.10	 36.60	 9.10
61.80	 36.40	 10.20
63.00	 35.70	 11.40
62.20	 36.10	 11.80
62.70	 36.30	 13.60
61.60	 35.70	 14.70
62.10	 35.20	 15.10
62.10	 34.30	 17.10
61.30	 35.20	 18.70
60.30	 34.90	 19.50
59.80	 34.80	 21.10
58.80	 34.60	 20.70
59.10	 34.90	 22.20
59.10	 34.00	 21.60
58.30	 34.30	 22.50
57.30	 34.00	 22.90
58.80	 33.10	 23.50
